found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan
HST F814W,F814W_089_8492082,150.11726995505512,2.5559826994204786,-2.5030670166015625,0.5505428314208984,189.04055786132812,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_041_2546279,150.172621371121,1.8130200429724534,-2.306572198867798,0.498287558555603,187.10276794433594,041,True,False,True,False,True,True,True,True,True
HST F814W,F814W_041_2563819,150.17201885707442,1.8420903872026388,-2.242384433746338,0.49445366859436035,185.66317749023438,041,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_3864542,150.28399410450916,1.9675759038882334,-2.2430944442749023,0.4958319365978241,182.18551635742188,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_075_7055637,150.49174195240184,2.4463211049240368,-2.0705957412719727,0.4515100121498108,167.98391723632812,075,True,False,True,False,True,True,True,True,True
HST F814W,F814W_067_6116223,149.88147088401706,2.227778901718991,-2.0464043617248535,0.45144468545913696,161.6113739013672,067,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2819689,149.96436386528026,1.9276935032190043,-2.209953784942627,0.45996853709220886,158.52981567382812,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_051_3703042,150.39710695542482,2.0598450771213144,-0.9799171090126038,0.42593109607696533,152.22894287109375,051,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_3898409,150.2553328948413,2.0323294548846773,-2.06259822845459,0.414059579372406,152.1395721435547,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8656585,149.91362488829327,2.5345144537967705,-2.050119400024414,0.4124140739440918,149.6540069580078,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_075_7045650,150.42966953423633,2.4272195508026737,-2.0369646549224854,0.399126797914505,148.49478149414062,075,True,False,True,False,True,True,True,True,True
HST F814W,F814W_065_5659375,150.11885169615445,2.1899575640299993,-2.5192432403564453,0.543751060962677,148.02993774414062,065,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2735962,150.0065384370058,1.846595275341327,-1.2371195554733276,0.4262199401855469,146.8982391357422,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8647122,150.0220935900998,2.517785925099673,-2.1391992568969727,0.40026792883872986,145.24649047851562,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4430943,149.94141288820745,2.127194015959055,-2.096724271774292,0.38079991936683655,142.24163818359375,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7298606,150.09082993003707,2.4614987332889764,-2.0770139694213867,0.37664926052093506,141.8552703857422,077,True,False,True,False,True,True,True,True,True
HST F814W,F814W_066_6005869,149.91286246071203,2.254427857864689,-2.3147618770599365,0.4281339645385742,140.52806091308594,066,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2817096,150.02844526158657,1.9175731657902844,-2.1650168895721436,0.4029555022716522,138.88006591796875,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7270653,150.14123933599396,2.4522329634024347,-1.7627226114273071,0.3559528887271881,134.06051635742188,077,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8634700,149.9853154602605,2.495875423185038,-1.8954871892929077,0.3660423755645752,132.82696533203125,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_065_5664608,150.14878409761792,2.194356135726162,-2.07000994682312,0.4842222332954407,131.8238983154297,065,True,False,True,False,True,True,True,True,True
HST F814W,F814W_065_5635290,150.16964830303993,2.16546345417876,-2.220848560333252,0.4756888449192047,129.5007781982422,065,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5364151,150.4442025740598,2.2893833786783695,-0.5731027722358704,0.3368370831012726,125.90459442138672,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5340644,150.4854290848682,2.245814722611178,-1.7368271350860596,0.33303382992744446,124.48300170898438,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_067_6064075,149.81105028452188,2.1313378944156507,-1.832374930381775,0.34390342235565186,123.11298370361328,067,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_3875109,150.3693051883234,1.9935886546320882,-1.8096225261688232,0.3268338739871979,120.08988189697266,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_078_7300946,150.0325662047728,2.293590641946273,-1.9924871921539307,0.33701249957084656,119.86669921875,078,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4368232,149.90352909614836,2.0237988260273885,-1.9191116094589233,0.31952518224716187,119.35345458984375,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_079_7545239,149.89033915568066,2.4249579497093183,-1.7986361980438232,0.32311031222343445,117.63339233398438,079,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8712107,150.04459197386524,2.616344794240298,-1.8883476257324219,0.3229045569896698,117.17340087890625,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5365289,150.43775132371402,2.2902805734803615,-1.0245940685272217,0.31148087978363037,116.42683410644531,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_053_4283099,150.17114829615036,2.090999672530743,-1.8880481719970703,0.3242080509662628,112.39137268066406,053,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4456019,149.80082442576077,2.0146244728333094,-1.955189824104309,0.3081032633781433,112.23719787597656,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4620645,149.80821046486074,2.1238856127902097,-1.807751178741455,0.3065856695175171,111.68436431884766,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_078_7459685,149.96175934686386,2.4450288224002357,-1.7195758819580078,0.3116929233074188,110.86117553710938,078,True,False,True,False,True,True,True,True,True
HST F814W,F814W_053_4280882,150.09058051834776,2.084995323574824,-1.7240633964538574,0.3184620141983032,110.39942169189453,053,True,False,True,False,True,True,True,True,True
