found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,gaia_bright_veto
Euclid VIS,VIS_101544258_1272491,150.26378499508567,2.3292811160806024,0.3330594301223755,0.053582604974508286,38.54692077636719,101544258,False,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101544258_1263968,150.3831216296646,2.2736137274380197,0.15338195860385895,0.05358222872018814,38.54664993286133,101544258,False,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_A5_0350491,150.3086753053965,1.9438684196083469,-2.784794330596924,1.1619226932525635,38.546199798583984,A5,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101541376_0490509,149.66220395883425,1.6261226562889768,0.7036752104759216,0.04432668909430504,38.545654296875,101541376,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B6_1016426,149.85558631790175,2.428043944075612,-2.8360202312469482,1.1482137441635132,38.545509338378906,B6,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101541375_0463808,149.64155123171622,1.7321448773988644,-0.10108310729265213,0.04945705458521843,38.5453987121582,101541375,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A9_0600379,150.17590110430044,1.8607626563839046,-3.25296688079834,1.1385618448257446,38.5446891784668,A9,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545699_1612135,150.47538615030265,2.412991579084516,0.26021817326545715,0.0826714038848877,38.544593811035156,101545699,False,True,True,True,False,False,False,True,True,False
JWST F115W,F115W_A4_0329886,150.301956149976,2.099896541224483,-3.4620728492736816,1.1379551887512207,38.54259490966797,A4,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101544258_1274256,150.36437761450549,2.341875441437943,0.7507781982421875,0.053575556725263596,38.541847229003906,101544258,False,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101541376_0491484,149.87876938675268,1.6319003364410016,1.0644910335540771,0.044319622218608856,38.53950881958008,101541376,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101541379_0568052,150.49581477952333,1.744377280022337,-0.2095232605934143,0.057436976581811905,38.53935241699219,101541379,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B6_1036893,149.9905488821121,2.4642418231805365,-3.2840018272399902,1.1479930877685547,38.53810119628906,B6,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101544256_1151325,149.81249497504686,2.260795179281246,0.9399069547653198,0.04370828717947006,38.5363883972168,101544256,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_A3_0237848,150.07518185977537,2.1300283104085524,-3.242488145828247,1.1188616752624512,38.53512191772461,A3,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101544260_1394457,150.75886007352491,2.3682364163029903,0.8624410629272461,0.07619369775056839,38.53489685058594,101544260,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544257_1188472,150.1297494684007,2.110714408120785,0.19264207780361176,0.0480596162378788,38.534080505371094,101544257,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_B2_0781015,150.10269295147265,2.5302093732541264,-3.0238964557647705,1.1492429971694946,38.528663635253906,B2,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545698_1568575,150.34986156833645,2.3672082941975083,0.7706913948059082,0.061466991901397705,38.52811813354492,101545698,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_B3_0856733,150.30746471375858,2.5070153670655975,-2.7740015983581543,1.1377928256988525,38.527801513671875,B3,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101545698_1581939,150.33359390382873,2.4731665194685064,-0.20608918368816376,0.06146419420838356,38.5263671875,101545698,True,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101541379_0570832,150.64414912771312,1.7666427424435847,-0.06196794658899307,0.05741605535149574,38.52531433105469,101541379,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101545699_1642968,150.52103214858468,2.5849246733534303,-0.43356019258499146,0.0826294794678688,38.525047302246094,101545699,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101542818_0939535,150.3754813965524,2.1091069841642045,0.8718763589859009,0.05895045027136803,38.52409362792969,101542818,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101544258_1277719,150.26676573640168,2.368406126080594,1.0817064046859741,0.05355067551136017,38.523948669433594,101544258,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101541379_0567348,150.60985643159867,1.7383936330716836,0.1648523062467575,0.05741338059306145,38.523521423339844,101541379,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101539936_0189697,149.82394541329072,1.6116159268704648,-0.02190004661679268,0.06362161785364151,38.52176284790039,101539936,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B9_1205291,150.34541593654595,2.2474660300279137,-3.281341075897217,1.125407338142395,38.52117919921875,B9,False,True,False,True,False,True,False,True,True,False
Euclid VIS,VIS_101547135_1830707,149.95902008008025,2.798524291925933,0.547062873840332,0.0670817568898201,38.520721435546875,101547135,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A9_0589657,150.17760728607882,1.8138217732675022,-1.8570489883422852,1.1378295421600342,38.5198974609375,A9,False,True,False,True,True,True,True,True,True,False
JWST F115W,F115W_B9_1216757,150.31304544007332,2.3076421960168028,-3.215240240097046,1.1253604888916016,38.51957321166992,B9,False,True,False,True,True,True,False,True,True,False
JWST F115W,F115W_B8_1138184,150.1392312773284,2.3160851212561013,-3.134294033050537,1.1119897365570068,38.5194091796875,B8,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101545696_1466120,149.97282553772945,2.449262258493848,0.5676785111427307,0.053768642246723175,38.51886749267578,101545696,True,True,True,True,False,False,False,True,True,False
JWST F115W,F115W_A6_0431312,149.7679026582409,2.055411776518671,-3.112478733062744,1.1361490488052368,38.518798828125,A6,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545698_1572235,150.33747369910694,2.3972675218184785,0.011778286658227444,0.061452046036720276,38.51875305175781,101545698,True,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101544257_1193730,150.01134705178353,2.1475661590180115,0.5447680354118347,0.04803979769349098,38.5181884765625,101544257,False,True,True,True,False,False,True,True,True,False
