euclid_id,ra_ref,dec_ref,n_epochs,pm_ra_mas_yr,pm_dec_mas_yr,pm_ra_err,pm_dec_err,pm_tot_mas_yr,sharp_F115W,mag_F115W,mag_F814W,mag_VIS
VIS_101541375_0454810,149.45440106786617,1.6744757007330218,2,-65.5023943989468,-22.24645959562494,2.761622978017693,2.761622978017693,69.17708172895811,0.6643582,,,1.6649702
VIS_101541376_0500009,149.94219587189534,1.6925295751129938,2,-40.80499492883972,-55.55576713690807,2.761622978017693,2.761622978017693,68.93105884369534,0.70138323,,,-0.14417599
VIS_101541375_0450750,149.52623879214983,1.645680897312765,2,-54.69615116381707,40.773569811546594,2.761622978017693,2.761622978017693,68.2213525760974,0.7260711,,,-3.6871629
VIS_101545696_1488219,149.9193343220656,2.520763592211682,2,8.825113303003878,-67.63578198252578,2.761622978017693,2.761622978017693,68.20910224595113,0.59026694,,,1.970114
VIS_101539938_0287640,150.32145815011742,1.6190209449112891,2,36.064837156912986,-56.47875270070169,2.761622978017693,2.761622978017693,67.01135714027637,0.7230663,,,-4.3544264
VIS_101547136_1902210,150.19743843754375,2.6588665295828013,2,-63.5978834967332,-19.772729519337197,2.761622978017693,2.761622978017693,66.60068781858728,0.64723456,,,-1.2034603
VIS_101545697_1561107,150.16271066337518,2.5956351347685325,3,-37.69914890873777,-52.949248879341454,1.2931768551410134,1.2931768551410134,64.99883679981994,0.71244085,-6.786005,,-2.4314795
VIS_101547136_1905539,150.22322984706727,2.6902137717103387,2,63.81362119282318,-11.221952677222296,2.761622978017693,2.761622978017693,64.79282731623114,0.6665624,,,-0.096401356
VIS_101544257_1211235,150.14093551253674,2.260870481196143,3,12.86181230602831,-62.88859006359679,1.2931768551410134,1.2931768551410134,64.1903495549185,0.7270907,,,-6.258797
VIS_101544259_1301535,150.51754612579083,2.339844402502771,3,0.6449358030828685,63.89478734611308,1.2931768551410134,1.2931768551410134,63.898042162456825,0.6867193,-2.5208113,,0.60966015
VIS_101545696_1509774,149.925641440176,2.5740402926257113,2,-6.967960202695627,-62.769955600463,2.761622978017693,2.761622978017693,63.15552070461019,0.71371645,,,-4.2494855
VIS_101547135_1814877,149.83483502615937,2.719304968922238,2,46.59638545249389,41.709826842342494,2.761622978017693,2.761622978017693,62.537451118954145,0.61765975,,,1.4512544
VIS_101545698_1585938,150.2631344518343,2.505250829025388,2,60.14399490444573,15.369247968002654,2.761622978017693,2.761622978017693,62.07667763474417,0.6252686,,,-0.0783412
VIS_101541378_0537414,150.3218802362307,1.8091781551045607,3,13.623701004430705,-59.16831327835798,1.2931768551410134,1.2931768551410134,60.7165094950627,0.6408946,-2.2293434,,0.6346505
VIS_101542820_1035072,150.73142451469485,2.136406215929095,2,29.753372599900892,51.85982431852992,2.761622978017693,2.761622978017693,59.7888330661949,0.67589045,,,1.8660574
