found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,veto_gaia,veto_peak,veto_local,veto_any,sharpness
Euclid VIS,VIS_101541375_0473350,149.65459254879786,1.796021904969608,0.057840846478939056,0.045698266476392746,35.615909576416016,101541375,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6907263398170471
Euclid VIS,VIS_101542818_0934089,150.42436025318085,2.067665765501926,-0.20141926407814026,0.054494310170412064,35.61200714111328,101542818,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6354113817214966
Euclid VIS,VIS_101542817_0837406,149.96837285890086,1.9962098212033437,0.9873113632202148,0.04843023419380188,35.605892181396484,101542817,False,True,True,True,False,False,True,True,True,False,False,False,False,0.6751648187637329
JWST F115W,F115W_B2_0789677,150.07014285298698,2.5821035744050618,-2.937941789627075,1.062056064605713,35.6057014465332,B2,False,True,False,True,True,True,False,True,True,False,False,False,False,0.681921660900116
Euclid VIS,VIS_101544256_1180994,149.72274518155388,2.3781166378218495,1.0240634679794312,0.04038204252719879,35.603729248046875,101544256,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6446292996406555
Euclid VIS,VIS_101539938_0290098,150.35255699327863,1.6336934720829916,0.1277410089969635,0.043646421283483505,35.602291107177734,101539938,False,True,False,True,False,False,False,True,True,False,False,False,False,0.7260927557945251
Euclid VIS,VIS_101545696_1504982,149.91221268323483,2.560827714832835,0.13294008374214172,0.049696534872055054,35.6016845703125,101545696,True,True,True,True,False,False,True,True,True,False,False,False,False,0.5893741250038147
JWST F115W,F115W_B6_0998360,149.86722367861105,2.3624460649681907,-3.0806899070739746,1.0604934692382812,35.60074234008789,B6,False,True,False,True,False,True,True,True,True,False,False,False,False,0.6209955811500549
Euclid VIS,VIS_101544257_1190882,150.12741222448457,2.1275016816633534,0.746697187423706,0.04440082982182503,35.60047149658203,101544257,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6556882858276367
Euclid VIS,VIS_101544256_1138278,149.79987113217385,2.175034048330345,0.3118842542171478,0.040376927703619,35.599220275878906,101544256,False,True,True,True,False,False,True,True,True,False,False,False,False,0.6192308068275452
Euclid VIS,VIS_101542817_0827116,150.14371793365794,1.9130150384394127,0.6539679765701294,0.048418816179037094,35.597496032714844,101542817,True,True,True,True,False,False,False,True,True,False,False,False,False,0.622337818145752
JWST F115W,F115W_B3_0844948,150.28903134948808,2.473259423984076,-3.375537872314453,1.0512518882751465,35.59736251831055,B3,False,True,False,True,True,True,True,True,True,False,False,False,False,0.6438004970550537
Euclid VIS,VIS_101544257_1197580,150.07754842478755,2.1686172396633716,0.6235518455505371,0.04439593851566315,35.59654998779297,101544257,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6157329082489014
Euclid VIS,VIS_101547137_2071783,150.26945142097932,2.8009907031579844,0.200193390250206,0.06669402867555618,35.596317291259766,101547137,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6477084159851074
Euclid VIS,VIS_101544258_1236916,150.23775626858273,2.12338771573771,1.0064183473587036,0.04948021471500397,35.5956916809082,101544258,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6903070211410522
Euclid VIS,VIS_101545697_1557740,149.97793274290325,2.571013710092181,0.9173449873924255,0.05105223134160042,35.595088958740234,101545697,False,True,True,True,False,False,True,True,True,False,False,False,False,0.6741632223129272
Euclid VIS,VIS_101545698_1599302,150.39180637636596,2.61243681827487,-0.21775977313518524,0.05678640678524971,35.59428405761719,101545698,False,True,False,True,False,False,False,True,True,False,False,False,False,0.637563169002533
Euclid VIS,VIS_101547136_1921986,150.26032972539818,2.806695851386373,0.8058841228485107,0.06857234984636307,35.59292984008789,101547136,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6943430304527283
Euclid VIS,VIS_101541379_0582626,150.5736726195349,1.8608584746373678,0.6591698527336121,0.05304526537656784,35.59257888793945,101541379,False,True,False,True,False,False,False,True,True,False,False,False,False,0.688353419303894
Euclid VIS,VIS_101544256_1144951,149.8103278790638,2.220717574356921,0.8331039547920227,0.040369272232055664,35.592472076416016,101544256,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6383624076843262
Euclid VIS,VIS_101545698_1594577,150.42179381648018,2.573723970757738,0.5914186835289001,0.056780923157930374,35.59084701538086,101545698,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6569015979766846
JWST F115W,F115W_B3_0851126,150.23230023800502,2.5194851461309637,-3.352445602416992,1.051045536994934,35.59037780761719,B3,False,True,False,True,False,True,True,True,True,False,False,False,False,0.6168229579925537
Euclid VIS,VIS_101542817_0839949,150.19287839519004,2.0155712005123068,0.2778659462928772,0.04840892180800438,35.5902214050293,101542817,True,True,True,True,False,False,False,True,True,False,False,False,False,0.6096224188804626
JWST F115W,F115W_B8_1120771,150.14631506690392,2.260128127288783,-3.286673069000244,1.0274229049682617,35.59000778198242,B8,False,True,False,True,True,True,True,True,True,False,False,False,False,0.554124653339386
Euclid VIS,VIS_101541376_0530127,149.7566573521806,1.8875476920954901,0.3163963258266449,0.04092653468251228,35.58894348144531,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6835973262786865
Euclid VIS,VIS_101544256_1154915,149.92295293832765,2.282149807171849,0.34624025225639343,0.04036250337958336,35.58650207519531,101544256,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6302874684333801
Euclid VIS,VIS_101544257_1212978,150.20216320815626,2.2732700497592533,1.352337121963501,0.044383224099874496,35.58635711669922,101544257,True,True,True,True,False,False,True,True,True,False,False,False,False,0.7541672587394714
Euclid VIS,VIS_101544257_1210359,150.13466339375069,2.254179032910644,0.5591442584991455,0.04438261687755585,35.58586883544922,101544257,True,True,True,True,False,False,False,True,True,False,False,False,False,0.7264484167098999
Euclid VIS,VIS_101542816_0774612,149.9236557516946,2.010585598816313,0.5739078521728516,0.05051354691386223,35.583709716796875,101542816,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6744421720504761
JWST F115W,F115W_B10_0728557,150.42012406420605,2.2648152242791433,-2.440302610397339,1.0816413164138794,35.581581115722656,B10,False,True,False,True,True,True,True,True,True,False,False,False,False,0.4243068993091583
JWST F115W,F115W_B10_0746009,150.4372905227836,2.298173338455794,-3.0669026374816895,1.0815128087997437,35.577354431152344,B10,False,True,False,True,True,True,True,True,True,False,False,False,False,0.44997140765190125
Euclid VIS,VIS_101545697_1552869,150.18798513195526,2.5339422113705816,0.5049979090690613,0.051026567816734314,35.57719421386719,101545697,True,True,True,True,False,False,False,True,True,False,False,False,False,0.6301473379135132
Euclid VIS,VIS_101542816_0777643,149.73203022868745,2.0357755586433637,-0.09810735285282135,0.05050281435251236,35.576148986816406,101542816,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6768675446510315
JWST F115W,F115W_A6_0403066,149.74700354377302,1.9559374715186584,-2.271965503692627,1.0493395328521729,35.57570266723633,A6,False,True,False,True,True,True,True,True,True,False,False,False,False,0.7218787670135498
Euclid VIS,VIS_101547138_2089061,150.60008648359883,2.6733300807094817,0.058200545608997345,0.09324529021978378,35.57432174682617,101547138,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6774107813835144
Euclid VIS,VIS_101545699_1649195,150.60220961898577,2.6277922183552858,-0.4929354190826416,0.07629967480897903,35.573848724365234,101545699,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6700132489204407
Euclid VIS,VIS_101547135_1840385,150.02524144507456,2.839146528232321,1.1602458953857422,0.061948876827955246,35.5732421875,101547135,False,True,False,True,False,False,False,True,True,False,False,False,False,0.7432676553726196
Euclid VIS,VIS_101542816_0775366,149.7107237788577,2.0164795247133753,0.5123357772827148,0.050495680421590805,35.57112121582031,101542816,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6830435395240784
Euclid VIS,VIS_101541379_0582225,150.53654724286835,1.8583180849462917,0.10864891856908798,0.05301298946142197,35.5709228515625,101541379,False,True,False,True,False,False,False,True,True,False,False,False,False,0.7392081618309021
Euclid VIS,VIS_101544257_1192520,149.99792639988388,2.1390330459280875,1.2691866159439087,0.044363804161548615,35.57078552246094,101544257,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6719934344291687
Euclid VIS,VIS_101544254_1071567,149.44931968314043,2.2406598842525685,1.3223141431808472,0.05807098001241684,35.569618225097656,101544254,False,True,False,True,False,False,False,True,True,False,False,False,False,0.768777072429657
Euclid VIS,VIS_101542817_0833220,149.94872588210143,1.961454749452005,0.3348156213760376,0.04838087409734726,35.569602966308594,101542817,True,True,True,True,False,False,True,True,True,False,False,False,False,0.5784314870834351
Euclid VIS,VIS_101542817_0794578,150.10924094981021,1.8651758717247027,0.03658479452133179,0.048379428684711456,35.568538665771484,101542817,True,True,True,True,False,False,False,True,True,False,False,False,False,0.638431191444397
