found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,vetoed_by_sat_v2,sharpness
JWST F115W,F115W_A3_0269364,150.12492649147617,2.1638216139362467,-5.904833793640137,38.012603759765625,1309.2059326171875,A3,False,True,False,True,False,True,True,True,True,False,0.6874104142189026
Euclid VIS,VIS_101544256_1140838,149.70682123035473,2.1921214511184854,-2.8974769115448,1.4770616292953491,1302.284423828125,101544256,False,True,False,True,False,False,False,True,True,False,0.6797091364860535
Euclid VIS,VIS_101541375_0446926,149.54289571551672,1.6205325602542708,-3.105154514312744,1.6678680181503296,1299.88818359375,101541375,False,True,False,True,False,False,False,True,True,False,0.65898197889328
JWST F115W,F115W_B3_0847575,150.3145673105622,2.4828688332121325,-7.116147041320801,38.29453659057617,1296.7249755859375,B3,False,True,False,True,True,True,True,True,True,False,0.5885264277458191
Euclid VIS,VIS_101545697_1554980,150.12577870681915,2.550949803647529,-3.346856117248535,1.8565807342529297,1294.461669921875,101545697,False,True,True,True,False,False,True,True,True,False,0.6531343460083008
Euclid VIS,VIS_101545694_1408289,149.48442488605411,2.395754197501123,-3.6025357246398926,2.4642608165740967,1294.147705078125,101545694,False,True,False,True,False,False,False,True,True,False,0.6625823378562927
Euclid VIS,VIS_101544254_1068862,149.47456492412536,2.2297578756791343,-3.291142225265503,2.0969021320343018,1284.3939208984375,101544254,False,True,False,True,False,False,False,True,True,False,0.6517743468284607
JWST F115W,F115W_B2_0791088,150.05032220702708,2.5941517908748315,-6.67397403717041,38.29299545288086,1283.782470703125,B2,False,True,False,True,True,True,True,True,True,False,0.6797855496406555
JWST F115W,F115W_B3_0859275,150.29354786485064,2.5228258650364843,-6.999072551727295,37.848140716552734,1281.609130859375,B3,False,True,False,True,False,True,True,True,True,False,0.5854518413543701
JWST F115W,F115W_A3_0272748,150.0565828990749,2.2085426266172212,-6.752839088439941,36.98567199707031,1273.8370361328125,A3,False,True,False,True,False,True,True,True,True,False,0.6231749057769775
JWST F115W,F115W_A1_0048772,149.7790140843079,2.2740857227206717,-5.821738243103027,35.80649948120117,1269.19384765625,A1,False,True,False,True,False,True,True,True,True,False,0.6974856853485107
Euclid VIS,VIS_101541380_0618279,150.66653291967788,1.7575112002762485,-3.6511383056640625,3.0547211170196533,1266.909423828125,101541380,False,True,False,True,False,False,False,True,True,False,0.6791008710861206
JWST F115W,F115W_A9_0593479,150.21035812763256,1.8164765137331655,-6.70738410949707,37.3422737121582,1264.1793212890625,A9,False,True,False,True,True,True,True,True,True,False,0.6383013129234314
JWST F115W,F115W_B2_0750919,150.04905081622402,2.4346025128170306,-6.718259811401367,37.041988372802734,1241.842041015625,B2,False,True,False,True,False,True,True,True,True,False,0.6770228147506714
JWST F115W,F115W_B10_0711806,150.41536058473667,2.1707521093656945,-6.483020782470703,37.708160400390625,1240.4444580078125,B10,False,True,False,True,False,True,True,True,True,False,0.6681302785873413
Euclid VIS,VIS_101542817_0797203,150.06635400530305,1.8687307938434812,-1.9112000465393066,1.6726012229919434,1229.69580078125,101542817,True,True,True,True,False,False,True,True,True,False,0.6485815644264221
Euclid VIS,VIS_101545697_1537262,150.08620924368904,2.4065613481696597,-3.1661012172698975,1.7589991092681885,1226.4249267578125,101545697,False,True,True,True,False,False,False,True,True,False,0.6749347448348999
Euclid VIS,VIS_101541376_0492099,149.93936055132633,1.6360203757948553,-2.8302361965179443,1.4072415828704834,1223.710693359375,101541376,False,True,False,True,False,False,False,True,True,False,0.6776465177536011
JWST F115W,F115W_A1_0012846,149.8658226429114,2.1146272322672215,-5.833995819091797,34.46308135986328,1221.5750732421875,A1,False,True,False,True,False,True,True,True,True,False,0.6635677814483643
JWST F115W,F115W_B7_1091858,150.06795334726334,2.4125573534151012,-6.630077838897705,35.8992919921875,1218.904541015625,B7,False,True,False,True,False,True,False,True,True,False,0.6379148364067078
Euclid VIS,VIS_101545697_1533894,150.04884517156498,2.3824225631330447,-3.0085554122924805,1.7432944774627686,1215.4752197265625,101545697,False,True,True,True,False,False,True,True,True,False,0.6911847591400146
Euclid VIS,VIS_101545696_1521046,149.9384555522279,2.6104886646406618,-3.18019437789917,1.6934131383895874,1213.130126953125,101545696,True,True,True,True,False,False,True,True,True,False,0.6664091348648071
Euclid VIS,VIS_101542816_0770454,149.95112519474452,1.9789272945703322,-3.309194564819336,1.719476342201233,1211.26611328125,101542816,False,True,True,True,False,False,True,True,True,False,0.6499922275543213
JWST F115W,F115W_A1_0043544,149.80819707539433,2.23404284524133,-6.465055465698242,34.126914978027344,1209.659423828125,A1,False,True,False,True,False,True,True,True,True,False,0.6382213830947876
JWST F115W,F115W_B7_1047943,150.02045509530961,2.2625774473848024,-5.923761367797852,35.556819915771484,1207.2764892578125,B7,False,True,False,True,False,True,False,True,True,False,0.6601607799530029
Euclid VIS,VIS_101545694_1436513,149.45590922119155,2.5633345721265224,-3.5178325176239014,2.2898170948028564,1202.5357666015625,101545694,False,True,False,True,False,False,False,True,True,False,0.6688715219497681
JWST F115W,F115W_B4_0887670,150.2913212059761,2.410789445567229,-6.529950141906738,35.421226501464844,1195.708251953125,B4,False,True,False,True,False,True,True,True,True,False,0.6634244918823242
JWST F115W,F115W_A1_0040748,149.89778939081057,2.195300308580694,-5.675475597381592,33.72396469116211,1195.37646484375,A1,False,True,False,True,False,True,True,True,True,False,0.6950622797012329
JWST F115W,F115W_B8_1160682,150.24474652783093,2.36433474931471,-6.611652374267578,34.41018295288086,1191.9713134765625,B8,False,True,False,True,False,True,True,True,True,False,0.6161965727806091
Euclid VIS,VIS_101547135_1790307,149.92368124577533,2.608605587173266,-3.3906917572021484,2.0471534729003906,1175.548095703125,101547135,True,True,True,True,False,False,True,True,True,False,0.6572996377944946
JWST F115W,F115W_B9_1224271,150.37711236599884,2.317482022861711,-6.638136386871338,34.14508819580078,1168.7403564453125,B9,False,True,False,True,False,True,False,True,True,False,0.6260178089141846
Euclid VIS,VIS_101545696_1454603,149.86084271066113,2.3804676319892106,-3.1051716804504395,1.6280473470687866,1166.30322265625,101545696,False,True,True,True,False,False,True,True,True,False,0.6654626727104187
JWST F115W,F115W_A1_0069914,149.83197935066752,2.317510650598286,-6.6025519371032715,32.8255615234375,1163.53173828125,A1,False,True,False,True,False,True,True,True,True,False,0.6115826964378357
Euclid VIS,VIS_101545697_1559813,150.06760017683473,2.586325412154049,-3.2381930351257324,1.6677266359329224,1162.787109375,101545697,False,True,True,True,False,False,False,True,True,False,0.6537646055221558
Euclid VIS,VIS_101545698_1580939,150.2387512332674,2.465319032285265,-3.2609760761260986,1.8494184017181396,1159.2337646484375,101545698,True,True,True,True,False,False,True,True,True,False,0.6340209245681763
JWST F115W,F115W_A9_0595462,150.2066329849658,1.8232609414906125,-6.674204349517822,33.85239791870117,1146.03369140625,A9,False,True,False,True,True,True,True,True,True,False,0.5680540800094604
JWST F115W,F115W_B3_0845727,150.20086866324107,2.511155686542213,-6.503748893737793,33.45840835571289,1132.964599609375,B3,False,True,False,True,False,True,False,True,True,False,0.6136056780815125
Euclid VIS,VIS_101544256_1147495,149.71954896748147,2.236833132383875,-3.0129029750823975,1.2842618227005005,1132.2982177734375,101544256,False,True,False,True,False,False,False,True,True,False,0.6683287024497986
Euclid VIS,VIS_101541376_0512775,149.86358469170807,1.7763341147509433,-2.8363168239593506,1.2996140718460083,1130.119873046875,101541376,False,True,False,True,False,False,False,True,True,False,0.6682934761047363
JWST F115W,F115W_A3_0215024,150.10221613678698,2.049495776758653,-6.562172889709473,32.59892272949219,1122.7513427734375,A3,False,True,False,True,False,True,True,True,True,False,0.60222989320755
Euclid VIS,VIS_101544257_1230287,150.07839266260103,2.389572063375762,-2.900386333465576,1.396060585975647,1119.35791015625,101544257,True,True,True,True,False,False,True,True,True,False,0.6613569259643555
Euclid VIS,VIS_101542820_0963941,150.7210543338885,1.8976666103126414,-3.369736909866333,2.2601025104522705,1118.9322509765625,101542820,False,True,False,True,False,False,False,True,True,False,0.6680928468704224
JWST F115W,F115W_A3_0202169,150.0231471351127,2.0320800588647105,-5.653045177459717,32.40900802612305,1116.21044921875,A3,False,True,False,True,False,True,True,True,True,False,0.6932670474052429
Euclid VIS,VIS_101542816_0757402,149.75075855909853,1.9508200997526095,-2.9146206378936768,1.5812548398971558,1113.8974609375,101542816,False,True,True,True,False,False,True,True,True,False,0.6912593841552734
JWST F115W,F115W_B2_0767600,150.13716375712687,2.463126302895397,-6.5756754875183105,32.95478439331055,1104.8175048828125,B2,False,True,False,True,True,True,True,True,True,False,0.5813871026039124
Euclid VIS,VIS_101545697_1534307,150.08415858459844,2.3861872148648007,-3.253812789916992,1.5811549425125122,1102.4268798828125,101545697,True,True,True,True,False,False,True,True,True,False,0.6418197154998779
Euclid VIS,VIS_101547136_1902859,150.26930775328069,2.6645333153467825,-3.2951738834381104,2.123161792755127,1102.0411376953125,101547136,False,True,False,True,False,False,False,True,True,False,0.6483622193336487
Euclid VIS,VIS_101541375_0485481,149.6458991391631,1.8789757899419388,-2.8631539344787598,1.4097033739089966,1098.68212890625,101541375,False,True,False,True,False,False,False,True,True,False,0.6467737555503845
Euclid VIS,VIS_101541376_0506107,149.71616720709213,1.732818359190253,-2.268141031265259,1.2596549987792969,1095.3721923828125,101541376,False,True,False,True,False,False,False,True,True,False,0.6986313462257385
Euclid VIS,VIS_101547136_1905420,150.0787429742701,2.689198114082032,-3.1458733081817627,2.109637975692749,1095.021484375,101547136,False,True,False,True,False,False,False,True,True,False,0.6992143392562866
Euclid VIS,VIS_101541379_0584753,150.63190165882065,1.875872196441015,-2.6012661457061768,1.630988359451294,1094.3687744140625,101541379,False,True,False,True,False,False,False,True,True,False,0.6838781833648682
JWST F115W,F115W_B7_1049693,150.00904517924084,2.274969470623386,-6.520269393920898,32.1987419128418,1093.2581787109375,B7,False,True,False,True,False,True,False,True,True,False,0.6505085825920105
Euclid VIS,VIS_101545697_1566149,150.02207318304704,2.6314344366824525,-3.0909810066223145,1.5674879550933838,1092.8978271484375,101545697,True,True,True,True,False,False,True,True,True,False,0.6646022200584412
JWST F115W,F115W_B8_1137092,150.2228722570241,2.283847842775172,-6.451440334320068,31.541316986083984,1092.5936279296875,B8,False,True,False,True,False,True,True,True,True,False,0.6772456169128418
JWST F115W,F115W_A9_0627867,150.26030220915857,1.9322030724220987,-5.846395015716553,32.244998931884766,1091.6170654296875,A9,False,True,False,True,False,True,True,True,True,False,0.6343560814857483
