seq,id,ra,dec,mag,tile,hstpng
164,263,150.009325,2.152262,22.63,066,sn_acs_only_0164_hst.png
165,121,150.017605,1.874579,20.82,042,sn_acs_only_0165_hst.png
166,229,149.996893,1.884849,19.19,042,sn_acs_only_0166_hst.png
167,319,149.988408,2.495288,23.56,090,sn_acs_only_0167_hst.png
168,24,150.043415,1.632357,21.66,030,sn_acs_only_0168_hst.png
169,205,150.023151,2.540108,22.97,090,sn_acs_only_0169_hst.png
170,224,150.027808,2.273457,24.36,066,sn_acs_only_0170_hst.png
171,175,150.027326,1.683743,22.15,030,sn_acs_only_0171_hst.png
172,227,150.031711,2.588040,23.57,090,sn_acs_only_0172_hst.png
173,322,150.018437,2.593944,24.11,090,sn_acs_only_0173_hst.png
174,34,150.053367,1.994799,22.03,054,sn_acs_only_0174_hst.png
175,95,150.039981,1.991648,20.74,054,sn_acs_only_0175_hst.png
176,112,150.036237,2.002961,20.23,054,sn_acs_only_0176_hst.png
177,159,150.023610,1.983077,20.41,054,sn_acs_only_0177_hst.png
178,266,150.007539,2.033489,24.14,054,sn_acs_only_0178_hst.png
179,320,150.055380,2.338730,18.94,078,sn_acs_only_0179_hst.png
180,142,150.044633,2.631540,22.61,102,sn_acs_only_0180_hst.png
181,134,150.046810,1.788702,20.14,030,sn_acs_only_0181_hst.png
182,135,150.051934,2.354901,22.97,078,sn_acs_only_0182_hst.png
183,299,150.031475,2.379143,23.30,078,sn_acs_only_0183_hst.png
184,53,150.074734,2.128581,21.10,065,sn_acs_only_0184_hst.png
185,91,150.068505,2.409435,22.18,077,sn_acs_only_0185_hst.png
186,103,150.073259,2.444173,20.29,077,sn_acs_only_0186_hst.png
187,109,150.069698,2.426356,22.65,077,sn_acs_only_0187_hst.png
188,365,150.034965,2.428984,23.94,078,sn_acs_only_0188_hst.png
189,389,150.031636,2.763045,22.65,102,sn_acs_only_0189_hst.png
190,282,150.083060,2.175572,18.60,065,sn_acs_only_0190_hst.png
191,223,150.061007,2.507055,23.44,089,sn_acs_only_0191_hst.png
192,350,150.035867,2.464590,22.86,090,sn_acs_only_0192_hst.png
193,109,150.083073,1.906007,22.83,041,sn_acs_only_0193_hst.png
194,84,150.045998,2.201136,22.90,066,sn_acs_only_0194_hst.png
195,129,150.053270,2.195330,20.87,066,sn_acs_only_0195_hst.png
196,342,150.092683,2.209748,23.51,065,sn_acs_only_0196_hst.png
197,128,150.065793,2.267265,20.67,065,sn_acs_only_0197_hst.png
198,216,150.100414,1.653785,22.91,029,sn_acs_only_0198_hst.png
199,146,150.083247,1.989415,20.55,053,sn_acs_only_0199_hst.png
200,156,150.090448,2.011473,20.42,053,sn_acs_only_0200_hst.png
201,158,150.087890,1.992327,20.60,053,sn_acs_only_0201_hst.png
202,219,150.098524,1.985787,21.57,053,sn_acs_only_0202_hst.png
