seq,id,ra,dec,mag,tile,euclid_vis_png,euclid_nisp_png
185,91,150.068505,2.409435,22.18,101545697,sn_acs_only_0185_euclid_vis.png,sn_acs_only_0185_euclid_nisp.png
186,103,150.073259,2.444173,20.29,101545697,sn_acs_only_0186_euclid_vis.png,sn_acs_only_0186_euclid_nisp.png
187,109,150.069698,2.426356,22.65,101545697,sn_acs_only_0187_euclid_vis.png,sn_acs_only_0187_euclid_nisp.png
188,365,150.034965,2.428984,23.94,101545697,sn_acs_only_0188_euclid_vis.png,sn_acs_only_0188_euclid_nisp.png
189,389,150.031636,2.763045,22.65,101547135,sn_acs_only_0189_euclid_vis.png,sn_acs_only_0189_euclid_nisp.png
190,282,150.083060,2.175572,18.60,101544257,sn_acs_only_0190_euclid_vis.png,sn_acs_only_0190_euclid_nisp.png
191,223,150.061007,2.507055,23.44,101545697,sn_acs_only_0191_euclid_vis.png,sn_acs_only_0191_euclid_nisp.png
192,350,150.035867,2.464590,22.86,101545697,sn_acs_only_0192_euclid_vis.png,sn_acs_only_0192_euclid_nisp.png
193,109,150.083073,1.906007,22.83,101542817,sn_acs_only_0193_euclid_vis.png,sn_acs_only_0193_euclid_nisp.png
194,84,150.045998,2.201136,22.90,101544257,sn_acs_only_0194_euclid_vis.png,sn_acs_only_0194_euclid_nisp.png
195,129,150.053270,2.195330,20.87,101544257,sn_acs_only_0195_euclid_vis.png,sn_acs_only_0195_euclid_nisp.png
196,342,150.092683,2.209748,23.51,101544257,sn_acs_only_0196_euclid_vis.png,sn_acs_only_0196_euclid_nisp.png
197,128,150.065793,2.267265,20.67,101544257,sn_acs_only_0197_euclid_vis.png,sn_acs_only_0197_euclid_nisp.png
198,216,150.100414,1.653785,22.91,101541377,sn_acs_only_0198_euclid_vis.png,sn_acs_only_0198_euclid_nisp.png
199,146,150.083247,1.989415,20.55,101542817,sn_acs_only_0199_euclid_vis.png,sn_acs_only_0199_euclid_nisp.png
200,156,150.090448,2.011473,20.42,101542817,sn_acs_only_0200_euclid_vis.png,sn_acs_only_0200_euclid_nisp.png
201,158,150.087890,1.992327,20.60,101542817,sn_acs_only_0201_euclid_vis.png,sn_acs_only_0201_euclid_nisp.png
202,219,150.098524,1.985787,21.57,101542817,sn_acs_only_0202_euclid_vis.png,sn_acs_only_0202_euclid_nisp.png
203,127,150.095689,2.297610,20.80,101544257,sn_acs_only_0203_euclid_vis.png,sn_acs_only_0203_euclid_nisp.png
204,64,150.115936,2.663324,20.81,101547136,sn_acs_only_0204_euclid_vis.png,sn_acs_only_0204_euclid_nisp.png
205,231,150.095456,2.662272,22.50,101547136,sn_acs_only_0205_euclid_vis.png,sn_acs_only_0205_euclid_nisp.png
206,160,150.101139,2.357580,20.29,101544257,sn_acs_only_0206_euclid_vis.png,sn_acs_only_0206_euclid_nisp.png
207,264,150.093090,2.385128,20.90,101544257,sn_acs_only_0207_euclid_vis.png,sn_acs_only_0207_euclid_nisp.png
208,122,150.097992,1.770622,18.47,101541377,sn_acs_only_0208_euclid_vis.png,sn_acs_only_0208_euclid_nisp.png
209,177,150.084145,1.758809,20.29,101541377,sn_acs_only_0209_euclid_vis.png,sn_acs_only_0209_euclid_nisp.png
210,247,150.071713,1.771734,20.91,101541377,sn_acs_only_0210_euclid_vis.png,sn_acs_only_0210_euclid_nisp.png
211,76,150.115014,2.680314,23.76,101547136,sn_acs_only_0211_euclid_vis.png,sn_acs_only_0211_euclid_nisp.png
212,203,150.103281,2.091938,21.99,101542817,sn_acs_only_0212_euclid_vis.png,sn_acs_only_0212_euclid_nisp.png
213,209,150.107015,2.429159,20.89,101545697,sn_acs_only_0213_euclid_vis.png,sn_acs_only_0213_euclid_nisp.png
214,230,150.104210,2.422496,23.02,101545697,sn_acs_only_0214_euclid_vis.png,sn_acs_only_0214_euclid_nisp.png
215,310,150.094095,2.425265,23.92,101545697,sn_acs_only_0215_euclid_vis.png,sn_acs_only_0215_euclid_nisp.png
216,331,150.086417,2.401777,23.40,101545697,sn_acs_only_0216_euclid_vis.png,sn_acs_only_0216_euclid_nisp.png
217,67,150.132947,1.845876,21.77,101541377,sn_acs_only_0217_euclid_vis.png,sn_acs_only_0217_euclid_nisp.png
