seq,id,ra,dec,mag,tile,hstpng
265,1499146547021258304,149.914655,2.125830,16.37,054,sn_euclid_only_0265_hst.png
266,1499138395022605405,149.913840,2.260541,17.61,066,sn_euclid_only_0266_hst.png
267,1498831021022832736,149.883102,2.283274,19.03,067,sn_euclid_only_0267_hst.png
268,1499142572022785581,149.914257,2.278558,18.06,066,sn_euclid_only_0268_hst.png
269,1498554502021668619,149.855450,2.166862,17.91,067,sn_euclid_only_0269_hst.png
270,1499105807021347504,149.910581,2.134750,18.15,066,sn_euclid_only_0270_hst.png
271,1498551181022936966,149.855118,2.293697,18.40,067,sn_euclid_only_0271_hst.png
272,1498409417023399388,149.840942,2.339939,18.52,079,sn_euclid_only_0272_hst.png
273,1499646650021845403,149.964665,2.184540,18.04,066,sn_euclid_only_0273_hst.png
274,1498578718022793664,149.857872,2.279366,17.67,067,sn_euclid_only_0274_hst.png
275,1499461764022889631,149.946176,2.288963,19.53,066,sn_euclid_only_0275_hst.png
276,1498508657023541500,149.850866,2.354150,16.04,079,sn_euclid_only_0276_hst.png
277,1499364945022379201,149.936495,2.237920,19.42,066,sn_euclid_only_0277_hst.png
278,1499644863021496501,149.964486,2.149650,18.60,066,sn_euclid_only_0278_hst.png
279,1499612981021537305,149.961298,2.153731,17.89,066,sn_euclid_only_0279_hst.png
280,1504649317022483550,150.464932,2.248355,15.95,063,sn_euclid_only_0280_hst.png
281,1503170007021730866,150.317001,2.173087,23.70,064,sn_euclid_only_0281_hst.png
282,1503127005021272392,150.312701,2.127239,18.58,052,sn_euclid_only_0282_hst.png
283,1504392931022545482,150.439293,2.254548,23.45,063,sn_euclid_only_0283_hst.png
284,1502397195022263584,150.239720,2.226358,15.68,064,sn_euclid_only_0284_hst.png
285,1503398391022719655,150.339839,2.271966,18.50,064,sn_euclid_only_0285_hst.png
286,1502321285022517388,150.232129,2.251739,24.46,064,sn_euclid_only_0286_hst.png
287,1504306201021746769,150.430620,2.174677,17.83,063,sn_euclid_only_0287_hst.png
288,1502234588023415773,150.223459,2.341577,18.41,077,sn_euclid_only_0288_hst.png
289,1499608717023877768,149.960872,2.387777,17.80,078,sn_euclid_only_0289_hst.png
290,1499310092023921918,149.931009,2.392192,16.24,078,sn_euclid_only_0290_hst.png
291,1502324713022529687,150.232471,2.252969,20.52,064,sn_euclid_only_0291_hst.png
292,1502382458022988836,150.238246,2.298884,17.69,076,sn_euclid_only_0292_hst.png
293,1502213838022758513,150.221384,2.275851,15.64,065,sn_euclid_only_0293_hst.png
294,1498830497024613799,149.883050,2.461380,18.54,079,sn_euclid_only_0294_hst.png
295,1499643502024292145,149.964350,2.429215,18.21,078,sn_euclid_only_0295_hst.png
296,1499272083025466857,149.927208,2.546686,17.96,090,sn_euclid_only_0296_hst.png
297,1503488571019291866,150.348857,1.929187,25.12,040,sn_euclid_only_0297_hst.png
298,1503473301020189844,150.347330,2.018984,19.11,052,sn_euclid_only_0298_hst.png
299,1502316976019481898,150.231698,1.948190,18.88,040,sn_euclid_only_0299_hst.png
300,1502672502019570656,150.267250,1.957066,17.66,040,sn_euclid_only_0300_hst.png
301,1502894750019123179,150.289475,1.912318,18.49,040,sn_euclid_only_0301_hst.png
302,1502505181020201966,150.250518,2.020197,18.56,052,sn_euclid_only_0302_hst.png
303,1502060113020006116,150.206011,2.000612,17.80,053,sn_euclid_only_0303_hst.png
304,1502315218018868547,150.231522,1.886855,19.03,040,sn_euclid_only_0304_hst.png
305,1503659481020261347,150.365948,2.026135,25.08,052,sn_euclid_only_0305_hst.png
306,1502490636019166070,150.249064,1.916607,18.61,040,sn_euclid_only_0306_hst.png
307,1502497797019468155,150.249780,1.946816,16.67,040,sn_euclid_only_0307_hst.png
308,1502079671020833324,150.207967,2.083332,19.56,053,sn_euclid_only_0308_hst.png
309,1503056902021185682,150.305690,2.118568,18.37,052,sn_euclid_only_0309_hst.png
310,1503452064020665903,150.345206,2.066590,24.41,052,sn_euclid_only_0310_hst.png
311,1502347657019901219,150.234766,1.990122,16.15,052,sn_euclid_only_0311_hst.png
312,1503839853020192946,150.383985,2.019295,15.79,052,sn_euclid_only_0312_hst.png
313,1503362050020965546,150.336205,2.096555,17.93,052,sn_euclid_only_0313_hst.png
314,1501733996021257387,150.173400,2.125739,18.30,053,sn_euclid_only_0314_hst.png
315,1500279064021398777,150.027906,2.139878,15.65,066,sn_euclid_only_0315_hst.png
316,1502126105021271324,150.212611,2.127132,19.42,053,sn_euclid_only_0316_hst.png
317,1500842440021361869,150.084244,2.136187,23.01,065,sn_euclid_only_0317_hst.png
318,1501500983021702055,150.150098,2.170206,16.60,065,sn_euclid_only_0318_hst.png
319,1501216114021273588,150.121611,2.127359,23.91,053,sn_euclid_only_0319_hst.png
320,1499789574022723974,149.978957,2.272397,19.34,066,sn_euclid_only_0320_hst.png
321,1499728245022335985,149.972825,2.233599,17.80,066,sn_euclid_only_0321_hst.png
322,1501301589023387810,150.130159,2.338781,18.92,077,sn_euclid_only_0322_hst.png
323,1500729737022162787,150.072974,2.216279,20.31,065,sn_euclid_only_0323_hst.png
