seq,id,ra,dec,mag,tile,hstpng
41,63918,149.959961,2.239606,18.92,066,sn_jwst_only_0041_hst.png
42,63922,149.964132,2.230732,19.22,066,sn_jwst_only_0042_hst.png
43,63925,149.959131,2.240993,20.32,066,sn_jwst_only_0043_hst.png
44,64344,150.049612,2.211724,20.46,066,sn_jwst_only_0044_hst.png
45,65518,150.050125,2.217411,20.26,066,sn_jwst_only_0045_hst.png
46,65520,150.048868,2.213840,20.13,066,sn_jwst_only_0046_hst.png
47,65892,150.044410,2.223917,19.64,066,sn_jwst_only_0047_hst.png
48,66507,149.948658,2.262269,22.17,066,sn_jwst_only_0048_hst.png
49,78238,150.023822,2.045081,19.97,054,sn_jwst_only_0049_hst.png
50,78585,150.126149,2.010856,18.31,053,sn_jwst_only_0050_hst.png
51,79893,150.077345,2.036914,23.22,053,sn_jwst_only_0051_hst.png
52,81991,150.132887,2.027950,21.89,053,sn_jwst_only_0052_hst.png
53,85722,150.072381,2.081361,19.58,053,sn_jwst_only_0053_hst.png
54,85920,150.075543,2.081209,20.41,053,sn_jwst_only_0054_hst.png
55,86809,150.148388,2.060638,21.55,053,sn_jwst_only_0055_hst.png
56,88349,150.135389,2.076441,21.97,053,sn_jwst_only_0056_hst.png
57,88781,150.103265,2.091908,21.62,053,sn_jwst_only_0057_hst.png
58,88968,150.149532,2.076133,18.57,053,sn_jwst_only_0058_hst.png
59,90408,150.122499,2.097915,21.56,053,sn_jwst_only_0059_hst.png
60,91824,150.087276,2.121066,19.32,053,sn_jwst_only_0060_hst.png
61,91871,150.106582,2.114409,19.26,053,sn_jwst_only_0061_hst.png
62,93667,150.133684,2.117311,20.56,053,sn_jwst_only_0062_hst.png
63,94205,150.074696,2.128554,20.38,065,sn_jwst_only_0063_hst.png
64,95029,150.134395,2.125196,19.74,053,sn_jwst_only_0064_hst.png
65,95412,150.058836,2.155164,21.50,065,sn_jwst_only_0065_hst.png
66,96873,150.051248,2.166318,20.36,066,sn_jwst_only_0066_hst.png
67,98542,150.165587,2.133494,21.04,065,sn_jwst_only_0067_hst.png
68,98544,150.166287,2.135136,20.46,065,sn_jwst_only_0068_hst.png
69,99660,150.123514,2.149793,20.78,065,sn_jwst_only_0069_hst.png
70,103231,150.055229,2.205794,21.12,066,sn_jwst_only_0070_hst.png
71,103357,150.057542,2.205458,21.38,066,sn_jwst_only_0071_hst.png
72,105075,150.106314,2.200257,22.39,065,sn_jwst_only_0072_hst.png
73,105317,150.093102,2.204235,21.70,065,sn_jwst_only_0073_hst.png
74,105741,150.092621,2.209736,22.46,065,sn_jwst_only_0074_hst.png
75,117983,150.188838,1.984619,19.42,053,sn_jwst_only_0075_hst.png
76,118899,150.193011,1.990955,20.43,053,sn_jwst_only_0076_hst.png
77,119884,150.197529,1.985719,18.70,053,sn_jwst_only_0077_hst.png
78,123125,150.273859,1.991845,19.93,052,sn_jwst_only_0078_hst.png
79,123956,150.183023,2.029010,18.48,053,sn_jwst_only_0079_hst.png
80,125023,150.274916,1.995361,18.93,052,sn_jwst_only_0080_hst.png
81,125041,150.175008,2.041448,19.94,053,sn_jwst_only_0081_hst.png
82,127851,150.280564,2.021276,21.37,052,sn_jwst_only_0082_hst.png
83,130441,150.219022,2.056642,21.72,053,sn_jwst_only_0083_hst.png
84,130735,150.238531,2.053922,21.68,052,sn_jwst_only_0084_hst.png
85,130856,150.196076,2.071002,20.49,053,sn_jwst_only_0085_hst.png
86,131452,150.211444,2.069101,18.41,053,sn_jwst_only_0086_hst.png
87,131453,150.212630,2.065657,20.27,053,sn_jwst_only_0087_hst.png
88,132285,150.299048,2.043214,21.62,052,sn_jwst_only_0088_hst.png
89,135514,150.179666,2.107821,20.41,053,sn_jwst_only_0089_hst.png
90,135921,150.268221,2.076242,20.93,052,sn_jwst_only_0090_hst.png
91,137269,150.182129,2.112961,20.91,053,sn_jwst_only_0091_hst.png
92,137273,150.184048,2.116540,19.20,053,sn_jwst_only_0092_hst.png
93,139345,150.203598,2.124671,20.60,053,sn_jwst_only_0093_hst.png
94,142008,150.323508,2.100413,20.42,052,sn_jwst_only_0094_hst.png
95,157183,150.348908,1.927358,18.48,040,sn_jwst_only_0095_hst.png
96,157585,150.311626,1.942327,21.96,040,sn_jwst_only_0096_hst.png
97,160236,150.349662,1.948305,21.73,040,sn_jwst_only_0097_hst.png
98,163584,150.357060,1.973211,20.55,052,sn_jwst_only_0098_hst.png
99,165783,150.360793,1.984707,22.87,052,sn_jwst_only_0099_hst.png
100,166635,150.320673,2.011372,21.21,052,sn_jwst_only_0100_hst.png
101,167347,150.370110,1.999966,20.82,052,sn_jwst_only_0101_hst.png
102,167348,150.369974,2.000433,20.80,052,sn_jwst_only_0102_hst.png
103,170786,150.359201,2.037520,20.31,052,sn_jwst_only_0103_hst.png
104,174724,150.341695,2.074867,18.46,052,sn_jwst_only_0104_hst.png
105,175220,150.389548,2.061363,19.60,052,sn_jwst_only_0105_hst.png
106,175713,150.396034,2.063681,20.19,051,sn_jwst_only_0106_hst.png
107,175715,150.396960,2.064137,20.94,051,sn_jwst_only_0107_hst.png
108,176366,150.329646,2.094596,19.37,052,sn_jwst_only_0108_hst.png
109,195512,149.800125,1.967048,20.73,055,sn_jwst_only_0109_hst.png
110,196977,149.801503,1.978167,19.88,055,sn_jwst_only_0110_hst.png
111,203833,149.751394,2.044732,19.98,055,sn_jwst_only_0111_hst.png
112,205473,149.776093,2.047677,22.00,055,sn_jwst_only_0112_hst.png
113,234989,149.830908,1.944130,19.64,043,sn_jwst_only_0113_hst.png
114,236292,149.901103,1.927848,21.11,042,sn_jwst_only_0114_hst.png
115,237340,149.834801,1.960175,20.19,043,sn_jwst_only_0115_hst.png
116,238579,149.865340,1.957760,21.80,043,sn_jwst_only_0116_hst.png
117,239413,149.895534,1.950892,21.10,042,sn_jwst_only_0117_hst.png
118,246533,149.897377,2.000811,19.46,054,sn_jwst_only_0118_hst.png
119,249645,149.864359,2.035590,18.67,055,sn_jwst_only_0119_hst.png
120,251425,149.867403,2.047126,19.03,055,sn_jwst_only_0120_hst.png
121,251681,149.878494,2.031969,19.92,055,sn_jwst_only_0121_hst.png
122,252120,149.888383,2.044082,18.92,055,sn_jwst_only_0122_hst.png
123,253237,149.970172,2.020650,20.90,054,sn_jwst_only_0123_hst.png
124,254183,149.959994,2.032411,21.18,054,sn_jwst_only_0124_hst.png
125,256578,149.913076,2.064707,22.22,054,sn_jwst_only_0125_hst.png
126,257173,149.877296,2.082577,20.01,055,sn_jwst_only_0126_hst.png
127,275440,149.966946,1.893366,18.42,042,sn_jwst_only_0127_hst.png
128,275519,150.017572,1.874561,20.04,042,sn_jwst_only_0128_hst.png
129,277084,150.020541,1.885750,20.45,042,sn_jwst_only_0129_hst.png
130,288855,149.989541,1.986919,21.90,054,sn_jwst_only_0130_hst.png
131,291440,150.094278,1.970539,19.62,053,sn_jwst_only_0131_hst.png
132,291539,150.039965,1.991617,20.60,054,sn_jwst_only_0132_hst.png
133,292616,150.053260,1.994833,20.92,054,sn_jwst_only_0133_hst.png
134,292884,150.036217,2.002925,19.59,054,sn_jwst_only_0134_hst.png
135,293308,150.004011,2.017756,21.17,054,sn_jwst_only_0135_hst.png
136,293613,150.098491,1.985768,20.82,053,sn_jwst_only_0136_hst.png
137,293645,150.083191,1.989418,19.27,053,sn_jwst_only_0137_hst.png
138,293987,150.087817,1.992291,20.26,053,sn_jwst_only_0138_hst.png
139,317281,150.132920,1.845882,20.57,041,sn_jwst_only_0139_hst.png
140,317742,150.158100,1.839017,20.74,041,sn_jwst_only_0140_hst.png
141,317744,150.160236,1.835707,20.50,041,sn_jwst_only_0141_hst.png
142,321569,150.152057,1.872348,20.32,041,sn_jwst_only_0142_hst.png
143,322556,150.119727,1.893739,20.07,041,sn_jwst_only_0143_hst.png
144,323410,150.126269,1.898419,20.75,041,sn_jwst_only_0144_hst.png
145,323412,150.126558,1.898264,21.31,041,sn_jwst_only_0145_hst.png
146,325322,150.137849,1.911276,22.29,041,sn_jwst_only_0146_hst.png
147,325490,150.198542,1.890583,20.67,041,sn_jwst_only_0147_hst.png
148,329084,150.171520,1.926338,19.06,041,sn_jwst_only_0148_hst.png
149,329356,150.138918,1.940621,19.93,041,sn_jwst_only_0149_hst.png
150,332935,150.151305,1.965886,23.14,053,sn_jwst_only_0150_hst.png
151,333046,150.228054,1.938872,23.47,040,sn_jwst_only_0151_hst.png
152,333048,150.228890,1.938617,21.17,040,sn_jwst_only_0152_hst.png
153,334255,150.232883,1.942772,20.63,040,sn_jwst_only_0153_hst.png
154,334339,150.231058,1.924256,19.57,040,sn_jwst_only_0154_hst.png
155,335879,150.227056,1.962407,21.67,052,sn_jwst_only_0155_hst.png
156,336823,150.171723,1.990369,20.48,053,sn_jwst_only_0156_hst.png
157,355355,150.277295,1.795981,20.19,040,sn_jwst_only_0157_hst.png
158,355430,150.258580,1.802747,22.01,040,sn_jwst_only_0158_hst.png
159,355552,150.243237,1.810013,21.33,040,sn_jwst_only_0159_hst.png
160,360721,150.273048,1.840258,18.54,040,sn_jwst_only_0160_hst.png
161,369347,150.281388,1.911407,20.18,040,sn_jwst_only_0161_hst.png
162,372250,150.335809,1.915481,22.96,040,sn_jwst_only_0162_hst.png
163,372501,150.327339,1.920569,21.09,040,sn_jwst_only_0163_hst.png
164,373550,150.302351,1.939524,21.12,040,sn_jwst_only_0164_hst.png
165,386203,149.926269,2.499143,22.98,090,sn_jwst_only_0165_hst.png
166,386421,149.938440,2.496948,21.72,090,sn_jwst_only_0166_hst.png
167,389118,149.915330,2.521990,21.04,090,sn_jwst_only_0167_hst.png
